Tag_Cash,現金
Tag_NotForSell,袂使賣
Tag_ColorCard,色卡
Tag_Monitor,顯示器
Tag_FaceMask,面罩
Tag_Injector,注射器
Tag_Healing,治療
Tag_GunType_AR,突擊步槍
Tag_GunType_BR,戰鬥步槍
Tag_GunType_MAG,機關槍
Tag_GunType_PST,手槍
Tag_GunType_Rocket,火箭發射器
Tag_GunType_SHT,散彈槍
Tag_GunType_SNP,狙擊槍
Tag_Computer,電腦
Tag_Element,元素彈
Tag_DontDropOnDeadInSlot,死亡袂掉落
Tag_Fish,魚
Tag_Fish_OnlyDay,只有日晡才會出現
Tag_Fish_OnlyNight,只有暗時才會出現
Tag_Fish_OnlyRainDay,落雨个日晡才會出現
Tag_Fish_OnlyStorm,風颱時陣才會出現
Tag_Fish_OnlySunDay,晴朗个日晡才會出現
Tag_Fish_Special,特別个魚類
Tag_AdvancedDebuffMode,高級減益模式
Tag_NotNested,袂巢狀（非嵌套）
Tag_Bait,魚餌
Tag_Cartridge,彈藥筒／卡帶
Tag_Crop,農作物
Tag_Earthworm,蚯蚓
Tag_FcController,FC手把
Tag_GamingConsole,遊戲主機
Tag_GunType_ARR,槍枝類型_自動步槍
Tag_GunType_PWS,槍枝類型_動力武器系統
Tag_Headset,耳機
Tag_JLab,JLab
Tag_LockInDemo,鎖定演示／試玩版
Tag_MiniGame,細漢遊戲
Tag_Seed,種子
Tag_Shit,屎
Tag_SoulCube,靈魂方塊
Tag_SpecialKey,特殊鎖匙
Tag_Sticky,黏黏个物件
Tag_Western,西部風
